,PRECTOT,ALLSKY_SFC_SW_DWN,Date,DO,TKN,DP,Turb,Temp,Cyano
77,1.89,23.73,2010-05-18,8.04,0.772,0.08,21.0,17.6,1
78,0.0,18.01,2010-03-03,16.95,1.0959999999999999,0.015,11.8,2.4,9
79,0.09,10.71,2012-11-13,10.01,0.636,0.11,25.7,10.9,1
80,1.53,3.35,2006-10-25,9.05,0.755,0.043,21.3,12.8,40922
81,0.69,14.47,2006-10-11,7.92,0.8170000000000001,0.015,19.0,17.1,100983
82,1.47,14.15,2011-03-14,11.6,0.537,0.15,18.2,5.2,1
83,0.06,25.34,2005-06-01,6.8,0.741,0.04,9.4,21.4,138
84,0.02,27.2,2010-06-17,6.75,0.424,0.09,16.5,24.8,166
85,0.0,22.02,2014-03-19,12.62,0.95,0.09,16.8,5.5,3232
86,0.02,16.38,2004-03-10,12.36,0.6509999999999999,0.015,19.5,6.4,412
87,0.55,22.69,2008-04-16,9.62,0.846,0.03,19.1,10.3,5892
88,0.1,7.59,2010-11-15,10.19,0.544,0.2,53.8,10.2,1
89,7.87,7.21,2010-03-10,13.83,0.915,0.015,13.4,5.7,1
90,0.0,21.78,2008-09-17,8.01,0.635,0.07,18.0,20.3,13698
91,0.04,12.85,2015-04-15,8.3,0.738,0.04,21.8,14.8,405
92,4.24,22.21,2007-08-28,6.68,0.701,0.08900000000000001,22.2,26.8,14652
93,3.94,22.07,2012-07-09,7.58,0.579,0.12,22.0,27.8,1860
94,0.0,25.95,2014-05-20,8.87,0.6779999999999999,0.05,18.1,17.9,2349
95,0.0,25.03,2010-08-26,6.47,0.5379999999999999,0.18,37.8,26.0,1
96,0.87,19.7,2009-06-09,6.41,0.669,0.09,23.0,22.1,107
97,0.66,16.34,2007-09-24,7.52,0.722,0.06,13.4,22.2,7625
98,0.15,20.21,2011-09-20,7.92,0.7020000000000001,0.22,31.9,19.4,1526
99,0.07,23.08,2011-08-30,5.46,0.461,0.26,32.0,25.7,128
100,0.0,24.54,2013-08-19,5.69,0.603,0.17,17.4,24.1,878
101,13.89,24.98,2006-07-26,7.68,0.763,0.031,9.9,26.8,11954
102,0.0,27.45,2013-06-06,7.17,0.688,0.08,25.5,21.3,1
103,0.24,27.43,2007-08-07,6.08,0.725,0.129,18.3,27.1,1127
104,0.0,20.69,2009-03-16,11.47,0.821,0.015,9.3,6.4,1701
105,0.96,15.84,2003-06-20,6.16,0.619,0.015,4.8,22.3,2934
106,0.0,27.57,2008-07-21,7.65,0.8270000000000001,0.08,19.6,26.3,9229
107,0.14,24.34,2011-08-15,5.3,0.583,0.23,30.3,26.4,2685
108,0.86,11.16,2009-11-23,9.7,0.552,0.08,15.1,9.7,27
109,0.0,10.37,2015-01-13,14.64,0.469,0.015,4.4,0.5,645
110,0.92,21.24,2005-07-13,8.2,0.924,0.057,17.3,26.8,25600
111,0.0,10.56,2013-12-12,13.29,0.545,0.04,15.8,0.3,248
112,0.0,28.8,2005-07-27,6.54,0.8059999999999999,0.094,22.6,25.7,26944
113,0.0,14.54,2005-10-27,8.94,0.743,0.015,14.5,14.5,1839
114,0.0,18.59,2011-10-04,7.41,0.667,0.19,33.6,18.4,280
115,0.0,5.79,2009-01-06,13.19,0.336,0.015,7.3,0.8,2141
116,0.01,7.99,2007-10-15,7.74,0.6829999999999999,0.04,22.2,18.9,10955
117,0.02,16.19,2010-02-17,16.71,1.0759999999999998,0.015,9.9,0.7,12
118,0.0,14.72,2007-10-29,8.7,0.67,0.064,19.5,14.0,8410
119,0.18,13.21,2003-02-10,14.42,0.556,0.015,1.6,1.2,2228
120,10.72,11.71,2009-04-29,7.96,0.836,0.05,20.7,14.9,362
121,0.01,28.89,2011-06-13,7.31,0.541,0.17,52.2,23.2,1
122,16.18,15.77,2007-07-09,7.03,0.737,0.155,21.0,25.6,643
123,0.0,15.8,2009-02-18,11.45,0.677,0.015,11.7,5.2,4010
124,0.18,17.25,2010-09-22,7.54,0.526,0.19,50.6,23.1,1
125,0.0,22.07,2002-08-07,5.91,0.59,0.09,11.6,27.0,48
126,0.24,17.27,2010-02-24,16.22,1.227,0.03,12.0,1.0,1
127,0.0,28.51,2004-05-05,9.4,0.645,0.033,20.9,16.1,84
128,0.0,10.48,2007-02-07,13.6,0.7120000000000001,0.038,3.5,2.5,3267
129,0.0,16.25,2012-10-16,9.15,0.631,0.12,22.2,15.7,6841
130,0.0,11.8,2014-10-28,8.68,0.5529999999999999,0.04,13.6,16.8,11406
131,9.26,23.15,2006-05-31,8.21,0.84,0.015,10.0,23.7,98382
132,0.0,28.19,2010-06-30,4.87,0.8390000000000001,0.11,21.0,26.7,1251
133,0.02,14.3,2012-02-14,12.63,0.54,0.13,19.2,1.8,1
134,0.0,27.76,2014-07-22,6.78,0.642,0.08,15.4,25.2,1249
135,0.0,22.39,2007-06-25,6.4,0.602,0.111,29.8,24.5,656
136,0.7,10.05,2009-05-27,8.07,0.7859999999999999,0.081,32.9,22.1,3824
137,0.0,11.28,2009-01-20,15.2,0.7959999999999999,0.015,8.5,0.9,6390
